CMDLINE python test_lib_memoryleak.py
MEM 41.660156 1611149917.8712
MEM 41.660156 1611149918.8799
MEM 41.660156 1611149919.8869
MEM 41.660156 1611149920.8965
MEM 41.660156 1611149921.9053
MEM 41.660156 1611149922.9138
MEM 41.664062 1611149923.9192
MEM 41.664062 1611149924.9288
MEM 41.667969 1611149925.9346
MEM 41.671875 1611149926.9423
MEM 41.683594 1611149927.9471
MEM 41.691406 1611149928.9588
MEM 41.695312 1611149929.9658
MEM 41.699219 1611149930.9726
MEM 41.710938 1611149931.9813
MEM 41.722656 1611149932.9894
MEM 41.730469 1611149933.9963
MEM 41.730469 1611149935.0047
MEM 41.730469 1611149936.0137
MEM 41.730469 1611149937.0194
MEM 41.730469 1611149938.0257
MEM 41.730469 1611149939.0341
MEM 41.734375 1611149940.0395
MEM 41.734375 1611149941.0467
MEM 41.734375 1611149942.0532
MEM 41.734375 1611149943.0608
MEM 41.734375 1611149944.0709
MEM 41.734375 1611149945.0800
MEM 41.734375 1611149946.0902
MEM 41.734375 1611149947.0964
MEM 41.734375 1611149948.1028
MEM 41.734375 1611149949.1075
MEM 41.734375 1611149950.1136
MEM 41.734375 1611149951.1234
MEM 41.734375 1611149952.1320
MEM 41.734375 1611149953.1425
MEM 41.734375 1611149954.1472
MEM 41.734375 1611149955.1532
MEM 41.734375 1611149956.1628
MEM 41.738281 1611149957.1722
MEM 41.738281 1611149958.1804
MEM 41.738281 1611149959.1899
MEM 41.738281 1611149960.2000
MEM 41.738281 1611149961.2067
MEM 41.738281 1611149962.2131
MEM 41.738281 1611149963.2228
MEM 41.738281 1611149964.2303
MEM 41.738281 1611149965.2359
MEM 41.738281 1611149966.2444
MEM 41.738281 1611149967.2545
MEM 41.738281 1611149968.2630
MEM 41.738281 1611149969.2718
MEM 41.738281 1611149970.2816
MEM 41.738281 1611149971.2883
MEM 41.738281 1611149972.2972
MEM 41.738281 1611149973.3068
MEM 41.738281 1611149974.3168
MEM 41.738281 1611149975.3235
MEM 41.738281 1611149976.3341
MEM 41.738281 1611149977.3432
MEM 41.738281 1611149978.3489
MEM 41.738281 1611149979.3548
MEM 41.738281 1611149980.3635
MEM 41.738281 1611149981.3706
MEM 41.738281 1611149982.3793
MEM 41.738281 1611149983.3875
MEM 41.738281 1611149984.3970
MEM 41.738281 1611149985.4043
MEM 41.738281 1611149986.4139
MEM 41.738281 1611149987.4201
MEM 41.738281 1611149988.4254
MEM 41.738281 1611149989.4351
MEM 41.738281 1611149990.4448
MEM 41.738281 1611149991.4530
MEM 41.738281 1611149992.4615
MEM 41.738281 1611149993.4691
MEM 41.738281 1611149994.4776
MEM 41.738281 1611149995.4858
MEM 41.738281 1611149996.4955
MEM 41.738281 1611149997.5009
MEM 41.738281 1611149998.5129
MEM 41.738281 1611149999.5195
MEM 41.738281 1611150000.5275
MEM 41.738281 1611150001.5356
MEM 41.738281 1611150002.5457
MEM 41.738281 1611150003.5513
MEM 41.738281 1611150004.5575
MEM 41.738281 1611150005.5638
MEM 41.738281 1611150006.5737
MEM 41.738281 1611150007.5816
MEM 41.738281 1611150008.5888
MEM 41.738281 1611150009.5972
MEM 41.738281 1611150010.6053
MEM 41.738281 1611150011.6139
MEM 41.738281 1611150012.6188
MEM 41.738281 1611150013.6276
MEM 41.738281 1611150014.6352
MEM 41.738281 1611150015.6417
MEM 41.742188 1611150016.6515
MEM 41.742188 1611150017.6591
MEM 41.742188 1611150018.6673
MEM 41.742188 1611150019.6772
MEM 41.742188 1611150020.6857
MEM 41.742188 1611150021.6921
MEM 41.742188 1611150022.6988
MEM 41.742188 1611150023.7089
